RequirementText,Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US),num_labels
'The user interface shall have standard menus buttons for navigation',0,0,0,1,0,0,0,0,0,0,0,1
'The system shall have a professional appearance',0,0,0,1,0,0,0,0,0,0,0,1
'The product shall have a consistent color scheme and fonts.',0,0,0,1,0,0,0,0,0,0,0,1
'The system shall be used by realtors with no training.',0,0,0,0,0,0,0,0,0,0,1,1
'The system shall be intuitive and self explanatory.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall be easy for a realtor to learn.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall use symbols and words that are naturally understandable by the realtor community.',0,0,0,1,0,0,0,0,0,0,1,2
'The product shall produce search results in an acceptable time',0,0,0,0,0,0,1,0,0,0,0,1
'The search results shall be returned no later 30 seconds after the user has entered the search criteria',0,0,0,0,0,0,1,0,0,0,0,1
'The product shall generate a CMA report in an acceptable time.',0,0,0,0,0,0,1,0,0,0,0,1
'The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.',0,0,0,0,0,0,1,0,0,0,0,1
'The product shall synchronize contacts and appointments in an acceptable time.',0,0,0,0,0,0,1,0,0,0,0,1
'The product shall synchronize with the office system every hour.',0,0,0,0,0,0,1,0,0,0,0,1
'The product shall be available for use 24 hours per day 365 days per year',1,0,0,0,0,0,0,0,0,0,0,1
'Out of 1000 accesses to the system the system is available 999 times.',1,0,0,0,0,0,0,0,0,0,0,1
'The product shall operate in offline mode whenever internet connection is unavailable.',0,1,0,0,0,0,0,0,0,0,0,1
'100% of saved user preferences shall be restored when system comes back online.',0,1,0,0,0,0,0,0,0,0,0,1
'The product shall be able support 1000 simultaneous users.',0,0,0,0,0,0,0,0,1,0,0,1
'The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.',0,0,0,0,0,0,1,0,1,0,0,2
'The product shall be installed by an untrained realtor without recourse to separately-printed instructions.',0,0,0,0,0,0,0,0,0,0,1,1
'90% of untrained realtors shall be able to install the product on their device without printed instructions',0,0,0,0,0,0,0,0,0,0,1,1
'The product is expected to run on Windows CE and Palm operating systems.',0,0,0,0,0,0,0,1,0,0,0,1
'Only registered realtors shall be able to access the system.',0,0,0,0,0,0,0,0,0,1,0,1
'Every user of the system shall be authenticated and authorized.',0,0,0,0,0,0,0,0,0,1,0,1
'The product shall prevent its data from incorrect data being introduced.',0,0,0,0,0,0,0,0,0,1,0,1
'The system shall be easy to use by the Program Administrators/Nursing Staff Members.',0,0,0,0,0,0,0,0,0,0,1,1
'All of the users shall be able to use the system after one day of training.',0,0,0,0,0,0,0,0,0,0,1,1
'The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.',0,0,0,0,0,0,0,0,0,0,1,1
'The number of mistakes noted by the students shall be decreased by 50% in the first year.',0,0,0,0,0,0,0,0,0,0,1,1
'The system shall be intuitive to the Program Administrators/Nursing Staff Members.',0,0,0,0,0,0,0,0,0,0,1,1
'2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.',0,0,0,0,0,0,0,0,0,0,1,1
'The system shall use symbols and words that are naturally understandable by the user community.',0,0,0,1,0,0,0,0,0,0,1,2
'The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.',0,0,0,1,0,0,0,0,0,0,1,2
'Staff members shall be able to complete a set of tasks in a timely manner.',0,0,0,0,0,0,1,0,0,0,0,1
'The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.',0,0,0,0,0,0,1,0,0,0,0,1
'The system shall be available for use between the hours of 8am and 6pm.',1,0,0,0,0,0,0,0,0,0,0,1
'The system shall achieve 95% up time.',1,0,0,0,0,0,0,0,0,0,0,1
'system shall be able to handle all of the user requests/usage during business hours.',1,0,0,0,0,0,0,0,1,0,0,2
'The system shall cater to 10 simultaneous users from 9am to 5pm.',1,0,0,0,0,0,0,0,1,0,0,2
'The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.',0,0,0,0,0,0,0,0,1,0,0,1
'The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.',0,0,0,0,0,0,0,0,1,0,0,1
'The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.',0,0,0,0,0,1,0,0,0,0,0,1
'The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.',0,0,0,0,0,1,0,0,0,0,0,1
'The system shall operate within the Windows XP Professional operating system.',0,0,0,0,0,1,0,0,0,0,0,1
The system shall interface with CampusConnect's central server',0,0,0,0,0,1,0,0,0,0,0,1
'The system shall interface with the faculty central server.',0,0,0,0,0,1,0,0,0,0,0,1
'The system shall interface with the student master server.',0,0,0,0,0,1,0,0,0,0,0,1
'We must be able to interface with any HTML browser.',0,0,0,0,0,1,0,0,0,0,0,1
'Only authorized users shall have access to clinical site information.',0,0,0,0,0,0,0,0,0,1,0,1
'Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.',0,0,0,0,0,0,0,0,0,1,0,1
Only authorized users shall have access to students' personal information.',0,0,0,0,0,0,0,0,0,1,0,1
Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.',0,0,0,0,0,0,0,0,0,1,0,1
'Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.',0,0,0,0,0,0,0,0,0,1,0,1
'Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.',0,0,0,0,0,0,0,0,0,1,0,1
'The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.',0,0,0,0,0,0,0,0,0,1,0,1
The system shall protect private information in accordance with the organization's information policy.',0,0,1,0,0,0,0,0,0,1,0,2
'The system shall be built such that it is as secure as possible from malicious interference.',0,0,0,0,0,0,0,0,0,1,0,1
The system shall use the organization's standard virus protection software to help monitor threats to itself.',0,0,0,0,0,0,0,0,0,1,0,1
'The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.',0,0,1,1,0,0,0,0,0,0,0,2
'All screens created as part of the Disputes application must comply with corporate standards for interface creation.',0,0,1,1,0,0,0,0,0,0,0,2
'The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.',0,0,0,1,0,0,0,0,0,0,0,1
'100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.',0,0,0,0,0,0,0,0,1,0,1,2
'100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.',0,0,0,0,0,0,0,0,1,0,1,2
'100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.',0,0,0,0,0,0,0,0,1,0,1,2
'The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.',0,0,0,0,0,0,1,0,0,0,0,1
'The Disputes application shall support 350 concurrent users without any degradation of performance in the application.',0,0,0,0,0,0,1,0,1,0,0,2
'The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday â€“ Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST',1,0,0,0,0,1,0,0,0,0,0,2
'The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database',0,0,0,0,0,1,0,0,0,0,0,1
'The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.',0,0,0,0,0,1,0,0,0,0,0,1
'The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.',0,0,0,0,0,1,0,0,0,0,0,1
'The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.',0,0,0,0,0,1,0,0,0,0,0,1
The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant's accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.',0,0,0,0,0,1,0,0,0,0,0,1
'The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.',0,0,0,0,0,0,0,0,0,1,0,1
'Only users with Update access must be able to initiate dispute requests.',0,0,0,0,0,0,0,0,0,1,0,1
'The Disputes application shall ensure that only authorized users are allowed to logon to the application.',0,0,0,0,0,0,0,0,0,1,0,1
'All authorized users once authenticated must be able to logon to the Disputes System',0,0,0,0,0,0,0,0,0,1,0,1
'If a user account is revoked it can only be re-instantiated by the System Administrator.',0,0,0,0,0,0,0,0,0,1,0,1
'Only the System Administrator shall be able to reset a revoked user logon account',0,0,0,0,0,0,0,0,0,1,0,1
'The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.',0,0,0,0,0,0,0,0,0,1,0,1
'The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.',0,0,1,0,0,0,0,0,0,0,0,1
'All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.',0,0,1,0,0,0,0,0,0,0,0,1
'The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.',0,0,1,0,0,0,0,0,0,0,0,1
'All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.',0,0,1,0,0,0,0,0,0,0,0,1
'The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.',0,0,1,0,0,0,0,0,0,0,0,1
'All actions that modify an existing dispute case must be recorded in the case history.',0,0,1,0,1,0,0,0,0,0,0,2
'The Disputes System must be accessible by both internal and external users.',1,0,0,0,0,0,0,0,0,1,0,2
'The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.',0,0,0,0,0,0,0,0,0,1,0,1
'The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.',0,0,0,0,0,0,1,0,1,0,0,2
'The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.',0,0,0,0,0,0,0,0,0,1,0,1
'The Disputes System shall provide view access capability for authorized users of the application.',0,0,0,0,0,0,0,0,0,1,0,1
'The Disputes System shall provide update access capability for authorized users of the application.',0,0,0,0,0,0,0,0,0,1,0,1
'The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.',0,0,1,0,1,0,0,0,0,0,0,2
'The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.',0,0,1,0,1,0,0,0,0,0,0,2
'A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.',0,0,0,1,0,0,0,0,0,0,0,1
'All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.',0,0,1,1,0,0,0,0,0,0,0,2
'The product must support Internet Explorer 5.5 and above.',0,0,0,0,0,0,0,1,0,0,0,1
'The product must support Mozilla Firefox 1.0 and above.',0,0,0,0,0,0,0,1,0,0,0,1
'The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.',0,0,0,0,0,1,0,0,0,0,0,1
'The product shall run on the existing hardware for all environments.',0,0,0,0,0,0,0,1,0,0,0,1
'The product shall adhere to the corporate Architecture guidelines',0,0,1,0,0,0,0,0,0,0,0,1
'The product shall comply with corporate User Interface Guidelines',0,0,1,1,0,0,0,0,0,0,0,2
'The product shall comply with corporate color scheme',0,0,1,1,0,0,0,0,0,0,0,2
'The appearance of the product shall appear professional',0,0,0,1,0,0,0,0,0,0,0,1
'The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.',0,0,0,0,0,0,0,0,0,0,1,1
'Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training',0,0,0,0,0,0,0,0,0,0,1,1
'The user shall easily locate instructions while using the product. User help can be found within 90% of the system.',0,0,0,1,0,0,0,0,0,0,1,2
'The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.',0,0,0,0,0,0,1,0,0,0,0,1
'The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds',0,0,0,0,0,0,1,0,0,0,0,1
'The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.',0,0,0,0,0,0,1,0,0,0,0,1
'The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.',0,0,0,0,0,0,1,0,0,0,0,1
'The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.',1,0,0,0,0,0,0,0,0,0,0,1
'The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.',1,1,0,0,0,0,0,0,0,0,0,2
'The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.',0,0,0,0,0,0,0,0,1,0,0,1
'The average number of recycled parts records per day shall be 50 000.',0,0,0,0,0,0,0,0,1,0,0,1
'The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.',0,0,0,0,0,0,0,0,1,0,0,1
'For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.',0,0,0,0,0,1,0,0,0,0,0,1
'The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.',0,0,0,0,0,1,0,0,0,0,0,1
'The maintenance of the product will fall within the established corporate maintenance windows.',0,0,0,0,1,0,0,0,0,0,0,1
'The product shall be supported using the corporate support center.',0,0,0,0,0,1,0,0,0,0,0,1
'Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.',0,0,0,0,1,0,0,0,0,0,0,1
'Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.',0,0,0,0,0,0,0,0,0,1,0,1
'Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.',0,0,0,0,0,0,0,0,0,1,0,1
'Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.',0,0,0,0,0,0,0,0,0,1,0,1
'Only valid data shall be entered into the system. No invalid data shall be entered into the system.',0,0,0,0,0,0,0,0,0,1,1,2
'One insurance company shall not be able to view another insurance companys claim data.',0,0,0,0,0,0,0,0,0,1,0,1
'The product shall free of computer viruses.',0,0,0,0,0,0,0,0,0,1,0,1
'The system shall prevent malicious attacks including denial of service.',0,0,0,0,0,0,0,0,0,1,0,1
'The product must comply with Sarbanes-Oxley.',0,0,1,0,0,0,0,0,0,0,0,1
'The product shall comply with the estimatics laws relating to recycled parts usage.',0,0,1,0,0,0,0,0,0,0,0,1
'The product shall comply with insurance regulations regarding claims processing.',0,0,1,0,0,0,0,0,0,0,0,1
'The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.',0,0,0,0,0,1,0,1,0,0,0,2
'The product will function alongside server software on any operating system where the Java runtime can be installed.',0,0,0,0,0,0,0,1,0,0,0,1
'The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.',0,0,0,0,0,1,0,1,0,0,0,2
'The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.',0,0,0,0,0,1,0,0,0,0,0,1
'A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.',0,0,0,0,0,1,0,0,0,0,0,1
The product's Look and Feel shall be able to incorporate aspects of the customer's organization such as logo branding and identity',0,0,0,1,0,0,0,0,0,0,0,1
'The product shall have a conservative and professional appearance.',0,0,0,1,0,0,0,0,0,0,0,1
'The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.',0,0,0,0,0,0,1,0,0,0,1,2
'The product shall allow the user to select a chosen language from one of the target market countries.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall allow for customization of start page and views preferences.',0,0,0,0,0,0,0,0,0,0,1,1
'An employee will be able to successfully use the product within a few minutes. After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall use a standard navigation menu familiar to most web users.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall allow for intuitive searching of available conference rooms.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall conform to the Americans with Disabilities Act.',0,0,1,0,0,0,0,0,0,0,0,1
The response shall be fast enough to avoid interrupting the user's flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.',0,0,0,0,0,0,1,0,0,0,0,1
'Aside from server failure the software product shall achieve 99.99% up time.',1,0,0,0,0,0,0,0,0,0,0,1
'The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.',0,0,0,0,1,0,0,0,0,0,0,1
'The product shall be capable of handling up to 1 000 concurrent requests. This number will increase to 2 000 by Release 2. The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.',0,0,0,0,0,0,0,0,1,0,0,1
'The product shall be able to process 10 000 transactions per hour within two years of its launch. This number will increase to 20 000 by Release 2.',0,0,0,0,0,0,0,0,1,0,0,1
'The product shall be expected to operate for at least 5 years for each customer installation.',0,0,0,0,0,1,0,0,0,0,0,1
'The product shall be used in office environments.',0,0,0,0,0,1,0,0,0,0,0,1
'The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).',0,0,0,1,0,1,0,1,0,0,0,3
'The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.',1,0,0,0,0,1,0,1,0,0,0,3
'The product must be able to interface with various email servers. The product shall be able to send email.',0,0,0,0,0,1,0,1,0,0,0,2
'The product shall be available for distribution via the Internet as a binary or ZIP file.',0,0,0,0,0,1,0,0,0,0,0,1
'The product shall be available for distribution as a packaged CD.',0,0,0,0,0,1,0,0,0,0,0,1
'The product will be available for licensing as a one-server two-five servers or five-or-more servers license.',0,0,0,0,0,1,0,0,0,0,0,1
'A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.',0,0,0,0,0,0,1,0,0,0,0,1
'The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.',0,0,0,0,1,0,0,0,0,0,0,1
The product must be highly configurable for use with various database management systems for the end users. 80% of end users are able to integrate new database management systems with the product without changing the product's software code.',0,0,0,0,1,0,0,1,0,0,0,2
'Maintenance releases will be offered to customers once a year. The releases shall take no longer than 5 minutes for 80% of the customer base to install.',0,0,0,0,1,0,1,0,0,0,0,2
Every registered user will have access to the product's support site via the Internet. 70% of registered users shall find a solution to their problem within 5 minutes of using the support site.',0,0,0,1,0,0,0,0,0,1,1,3
The customer shall be able to easily integrate new building maps with the product throughout the product's lifecycle. Integration of new maps with the product shall be possible with little to no support from product support staff.',0,0,0,0,1,0,0,0,0,0,0,1
The product shall be translated into foreign languages other than the target market countries' languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market's language.',0,0,0,0,1,0,0,0,1,0,1,3
'The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.',0,0,0,0,0,1,0,1,0,0,0,2
'The product shall be able to be installed in any operating environment within 2 days.',0,0,0,0,0,1,0,1,0,0,0,2
'The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.',0,0,0,0,0,0,0,0,0,1,0,1
'Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.',0,0,0,0,0,0,0,0,0,1,0,1
The product shall ensure that the database's data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.',0,0,0,0,0,0,0,0,0,1,0,1
The product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.',0,0,0,0,0,0,0,0,0,1,0,1
'The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.',1,1,0,0,0,0,0,0,0,1,0,3
'The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.',0,0,0,0,1,0,0,0,0,1,0,2
'The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.',0,0,0,0,0,0,0,0,1,0,1,2
The product shall be able to display calendar dates and times according to the user's locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.',0,0,0,0,0,0,0,0,0,0,1,1
'The product must be developed with the J2SE/J2EE programming language libraries',0,0,0,0,0,1,0,0,0,0,0,1
'The product shall have a customizable Look and Feel.',0,0,0,1,0,0,0,0,0,0,0,1
'The product shall have an intuitive user interface.',0,0,0,0,0,0,0,0,0,0,1,1
'Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.',0,0,0,0,0,0,1,0,0,0,0,1
'The System shall allow for a minimum of 6 users to work at the same time.',0,0,0,0,0,0,0,0,1,0,0,1
'The System shall utilize currently owned computer equipment.',0,0,0,0,0,1,0,0,0,0,0,1
'The System shall be able to automatically backup business data and restore them on demand.',0,1,0,0,0,0,0,0,0,0,0,1
'The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.',0,0,0,0,0,0,0,0,0,1,0,1
'The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.',0,0,0,0,0,0,0,0,0,1,0,1
'The System shall meet all applicable accounting standards. The final version of the System must successfully pass independent audit performed by a certified auditor.',0,0,1,0,1,0,0,0,0,0,0,2
'The System shall not require additional third party licenses resulting in royalty fees.',0,0,0,0,0,1,0,0,0,0,0,1
'PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.',0,0,0,1,0,0,0,0,0,0,1,2
'The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.',0,0,0,1,0,0,0,0,0,0,1,2
'Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.',0,0,0,0,0,0,1,0,0,0,1,2
'Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.',0,0,0,0,0,0,1,0,0,0,1,2
"System shall let customers register on the website as a ""pay as you go"" user in under 5 minutes.'",0,0,0,0,0,0,1,0,0,0,1,2
"System shall let customers register on the website as a ""unlimited movie subscriber"" user in under 10 minutes.'",0,0,0,0,0,0,1,0,0,0,1,2
'System shall let existing customers log into the website with their email address and password in under 5 seconds.',0,0,0,0,0,0,1,0,0,0,1,2
'System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.',0,0,0,0,0,0,1,0,0,1,1,3
'System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.',0,0,0,0,0,0,1,0,0,1,0,2
'System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.',0,0,0,0,0,0,1,0,0,0,1,2
'System shall let the administrator add/remove categories on the website in under 5 minutes.',0,0,0,0,0,0,1,0,0,0,1,2
'System shall let Izogn Manager access sales and usage statistics in under 2 minutes.',0,0,0,0,0,0,1,0,0,0,0,1
'System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.',0,0,0,0,0,0,1,0,0,0,1,2
'The website shall be attractive to all audiences. The website shall appear to be fun and the colors should be bright and vibrant.',0,0,0,1,0,0,0,0,0,0,0,1
'The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.',0,0,0,1,0,0,0,0,0,0,0,1
'The website design should be modern clean and concise.',0,0,0,1,0,0,0,0,0,0,0,1
'The product should be able to be used by 90% of novice users on the Internet.',0,0,0,0,0,0,0,0,0,0,1,1
'Users should only have to navigate through a maximum of 4 pages to create an account with the website.',0,0,0,1,0,0,0,0,0,0,1,2
'Users should be able to access their streaming movies in under 2 clicks after logging into the website.',0,0,0,1,0,0,0,0,0,0,1,2
'An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.',0,0,0,0,0,0,0,0,0,0,1,1
'An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.',0,0,0,0,0,0,0,0,0,0,1,1
The product shall retain the customer's buying preferences and information.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.',0,0,0,0,0,0,1,0,0,0,1,2
'The product shall use symbols and words that are naturally understandable by users familiar with websites',0,0,0,1,0,0,0,0,0,0,1,2
'The website will use standard Internet conventions when interacting with the user.',0,0,0,1,0,0,0,0,0,0,1,2
'Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below.',0,1,0,0,0,0,1,0,0,0,0,2
'When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.',0,0,0,0,0,0,1,0,0,0,0,1
When streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.)',0,0,0,0,0,0,1,0,0,0,0,1
